"numero","anejo","docx","estado","contiene_nombre_proyecto","tiene_objeto","tiene_antecedentes","tiene_normativa","marcadores_pendientes","ultima_modificacion"
"1","Reportaje Fotografico","Anexo 1 - Reportaje Fotografico.docx","Base util preparada","True","True","True","True","1","2026-04-15 18:17"
"2","Cartografia y Topografia","Anexo 2 - Cartografia y Topografia.docx","Arranque completado","True","True","True","True","0","2026-04-15 18:17"
"3","Estudio Geotecnico","Anexo 3 - Estudio Geotecnico.docx","Base util preparada","True","True","True","True","1","2026-04-15 18:17"
"4","Trazado, Replanteo y Mediciones Auxiliares","Anexo 4 - Trazado, Replanteo y Mediciones Auxiliares.docx","Arranque completado","True","True","True","True","0","2026-04-15 18:17"
"5","Dimensionamiento del Firme","Anexo 5 - Dimensionamiento del Firme.docx","Arranque completado","True","True","True","True","0","2026-04-15 18:17"
"6","Red de Agua Potable","Anexo 6 - Red de Agua Potable.docx","Arranque completado","True","True","True","True","0","2026-04-15 18:17"
"7","Red de Saneamiento - Pluviales","Anexo 7 - Red de Saneamiento - Pluviales.docx","Arranque completado","True","True","True","True","0","2026-04-15 18:17"
"8","Red de Saneamiento - Fecales","Anexo 8 - Red de Saneamiento - Fecales.docx","Arranque completado","True","True","True","True","0","2026-04-15 18:17"
"9","Red de Media Tension","Anexo 9 - Red de Media Tension.docx","Arranque completado","True","True","True","True","0","2026-04-15 18:17"
"10","Red de Baja Tension","Anexo 10 - Red de Baja Tension.docx","Arranque completado","True","True","True","True","0","2026-04-15 18:17"
"11","Red de Alumbrado","Anexo 11 - Red de Alumbrado.docx","Arranque completado","True","True","True","True","0","2026-04-15 18:17"
"12","Accesibilidad","Anexo 12 - Accesibilidad.docx","Arranque completado","True","True","True","True","0","2026-04-15 18:17"
"13","Estudio de Gestion de Residuos","Anexo 13 - Estudio de Gestion de Residuos.docx","Base util preparada","True","True","True","True","2","2026-04-15 18:17"
"14","Control de Calidad","Anexo 14 - Control de Calidad.docx","Base util preparada","True","True","True","True","2","2026-04-15 18:17"
"15","Plan de Obra","Anexo 15 - Plan de Obra.docx","Base util preparada","True","True","True","True","1","2026-04-15 18:17"
"16","Comunicaciones con Companias Suministradoras","Anexo 16 - Comunicaciones con Companias Suministradoras.docx","Base util preparada","True","True","True","True","1","2026-04-15 18:17"
"17","Seguridad y Salud","Anexo 17 - Estudio de Seguridad y Salud.docx","Arranque completado","True","True","True","True","0","2026-04-15 18:17"
"18","Telecomunicaciones","Anexo 18 - Telecomunicaciones.docx","Arranque completado","True","True","True","True","0","2026-04-15 18:17"
