Dibujo:,ABASTECIMIENTO.dwg
Ruta de dibujo:,Z:\PROYECTO 535\535.2\535.2.1 Proyecto de Urbanización\PLANOS\04_CIVIL3D\ABASTECIMIENTO.dwg
Fecha del informe:,29/04/2026
Notificado por:,USUARIO
Versión del informe:,1.0 (B)

ABASTECIMIENTO
Nombre de la red de tuberías a presión,Descripción,Lista de piezas,Tuberías,Accesorios,Elementos hidromecánicos,Tramos de tubería,Superficie de referencia por defecto,Alineación de referencia por defecto,Elevación mínima,Elevación máxima,Estilo de etiqueta de tuberías en planta,Estilo de etiqueta de accesorio en planta,Estilo de etiqueta de elemento hidromecánico en planta,Capa de tuberías en planta,Capa de accesorio en planta,Capa de elemento hidromecánico en planta,Infracciones
ABASTECIMIENTO,<Ninguno>,ESPAÑA,124,112,4,10,PROPUESTA,<Ninguno>,-1.163,8.827,<Ninguno>,<Ninguno>,<Ninguno>,C-WATR-PIPE,C-WATR-FITT,C-WATR-APPT,0

ABASTECIMIENTO
Nombre de accesorio,Descripción,Estilo de accesorio,Tipo de pieza,Diámetro nominal,Alineación de referencia,Superficie de referencia,P.K.,Desfase,Abscisa,Ordenada,Elevación,Ángulo horizontal,Ángulo vertical,Conexiones,Material,Descripción de pieza,Infracciones,Conjuntos de propiedades
Fitting - (12),Bend 11.25_ DN 300_  [...],Estándar,Codo,300,<Ninguno>,PROPUESTA,,,367524.1170,4057784.0156,-0.932,11° 15' 6.317",0° 0' 0.000",2,ByLayer,Bend 11.25_ DN 300_ Socket,0,0
Fitting - (13),Bend 22.5_ DN 300_ S [...],Estándar,Codo,300,<Ninguno>,PROPUESTA,,,367530.4176,4057778.2696,-0.781,22° 30' 13.278",0° 0' 0.000",2,ByLayer,Bend 22.5_ DN 300_ Socket,0,0
Fitting - (14),Bend 11.25_ DN 300_  [...],Estándar,Codo,300,<Ninguno>,PROPUESTA,,,367532.4488,4057771.5510,-0.656,11° 15' 6.377",0° 0' 0.000",2,ByLayer,Bend 11.25_ DN 300_ Socket,0,0
Fitting - (15),Bend 11.25_ DN 300_  [...],Estándar,Codo,300,<Ninguno>,PROPUESTA,,,367532.9913,4057762.1268,-0.488,11° 15' 6.425",0° 0' 0.000",2,ByLayer,Bend 11.25_ DN 300_ Socket,0,0
Fitting - (16),Bend 11.25_ DN 300_  [...],Estándar,Codo,300,<Ninguno>,PROPUESTA,,,367530.5964,4057752.0656,-0.305,11° 15' 6.385",0° 0' 0.000",2,ByLayer,Bend 11.25_ DN 300_ Socket,0,0
Fitting - (17),Bend 90_ DN 350_ PN  [...],Estándar,Codo,300,<Ninguno>,PROPUESTA,,,367504.9928,4057702.9306,0.679,90° 0' 57.478",0° 0' 0.000",2,ByLayer,Bend 90_ DN 350_ PN 16_ RF,0,0
Fitting - (18),Bend 22.5_ DN 300_ S [...],Estándar,Codo,300,<Ninguno>,PROPUESTA,,,367652.1786,4057599.7620,3.870,22° 30' 12.702",0° 0' 0.000",2,ByLayer,Bend 22.5_ DN 300_ Socket,0,0
Fitting - (19),Bend 22.5_ DN 300_ S [...],Estándar,Codo,300,<Ninguno>,PROPUESTA,,,367684.0334,4057554.7272,4.850,22° 24' 14.948",2° 5' 16.084",2,ByLayer,Bend 22.5_ DN 300_ Socket,0,0
Fitting - (20),Bend 11.25_ DN 300_  [...],Estándar,Codo,300,<Ninguno>,PROPUESTA,,,367807.1480,4057470.5045,2.556,10° 51' 8.622",3° 0' 10.330",2,ByLayer,Bend 11.25_ DN 300_ Socket,0,0
Fitting - (21),Bend 45_ DN 300_ Soc [...],Estándar,Codo,300,<Ninguno>,PROPUESTA,,,367833.2666,4057444.2377,0.053,45° 6' 31.281",0° 0' 0.000",2,ByLayer,Bend 45_ DN 300_ Socket,0,0
Fitting - (22),Bend 45_ DN 300_ Soc [...],Estándar,Codo,300,<Ninguno>,PROPUESTA,,,367833.1921,4057438.2731,-0.349,45° 6' 3.404",0° 0' 0.000",2,ByLayer,Bend 45_ DN 300_ Socket,0,0
Fitting - (57),Bend 11.25_ DN 200_  [...],Estándar,Codo,200,<Ninguno>,PROPUESTA,,,367576.2346,4057787.1349,1.273,11° 15' 9.125",0° 2' 35.694",2,ByLayer,Bend 11.25_ DN 200_ Socket,0,0
Fitting - (58),Bend 11.25_ DN 200_  [...],Estándar,Codo,200,<Ninguno>,PROPUESTA,,,367585.8292,4057802.2932,1.665,11° 15' 9.439",0° 0' 0.000",2,ByLayer,Bend 11.25_ DN 200_ Socket,0,0
Fitting - (59),Bend 11.25_ DN 200_  [...],Estándar,Codo,200,<Ninguno>,PROPUESTA,,,367592.0037,4057808.5951,1.855,11° 15' 9.347",0° 0' 0.000",2,ByLayer,Bend 11.25_ DN 200_ Socket,0,0
Fitting - (60),Bend 11.25_ DN 200_  [...],Estándar,Codo,200,<Ninguno>,PROPUESTA,,,367604.3145,4057819.3653,2.209,11° 15' 9.441",0° 0' 0.000",2,ByLayer,Bend 11.25_ DN 200_ Socket,0,0
Fitting - (61),Bend 11.25_ DN 200_  [...],Estándar,Codo,200,<Ninguno>,PROPUESTA,,,367643.7941,4057841.2074,3.183,11° 15' 9.338",0° 0' 0.000",2,ByLayer,Bend 11.25_ DN 200_ Socket,0,0
Fitting - (62),Bend 90_ DN 200_ Soc [...],Estándar,Codo,200,<Ninguno>,PROPUESTA,,,367665.1212,4057854.2879,3.724,90° 1' 30.681",0° 0' 0.000",2,ByLayer,Bend 90_ DN 200_ Socket,0,0
Fitting - (63),Bend 45_ DN 200_ Soc [...],Estándar,Codo,200,<Ninguno>,PROPUESTA,,,367671.4878,4057845.2059,3.963,45° 0' 44.731",0° 0' 0.000",2,ByLayer,Bend 45_ DN 200_ Socket,0,0
Fitting - (64),Bend 45_ DN 200_ Soc [...],Estándar,Codo,200,<Ninguno>,PROPUESTA,,,367700.3458,4057847.0145,4.588,45° 0' 47.163",0° 0' 0.000",2,ByLayer,Bend 45_ DN 200_ Socket,0,0
