Nombre de tubería,Descripción,Estilo de tubería,Tipo de pieza,Diámetro nominal,Alineación de referencia,Superficie de referencia,P.K. inicial,Desfase inicial,P.K. final,Desfase final,Cobertura mínima,Cobertura máxima,Abscisa inicial,Ordenada inicial,Abscisa final,Ordenada final,Elevación de eje inicial,Elevación de eje final,Rasante inicial,Rasante final,Elevación de generatriz interior superior inicial,Elevación de generatriz interior superior final,Longitud 2D,Longitud 3D,Orientación,Talud,Radio horizontal,Longitud de cuerda,Abscisa de centro,Ordenada de centro,Radio vertical,Diámetro interior,Diámetro exterior,Grosor de pared,Pieza inicial,Pieza final,Conexiones,Segmentos verticales,Material,Descripción de pieza,Infracciones,Conjuntos de propiedades
Pressure Pipe - (13),Pipe_ DN 300_ PN 16_ [...],Estándar,Tubería a presión,300,<Ninguno>,PROPUESTA,,,,,0.000,0.000,367513.4095,4057791.3966,367524.0708,4057784.0455,-1.163,-0.933,-1.313,-1.083,-1.000,-0.770,12.9500,12.9521,"124° 35' 13.484""",-1.78 %,,,,,,0.3000,0.3260,0.0130,<Ninguno>,Fitting - (12),2,1,ByLayer,Pipe_ DN 300_ PN 16_ RF,0,0
Pressure Pipe - (14),Pipe_ DN 300_ PN 16_ [...],Estándar,Tubería a presión,300,<Ninguno>,PROPUESTA,,,,,0.000,0.000,367524.1565,4057783.9774,367530.3591,4057778.3312,-0.931,-0.782,-1.081,-0.932,-0.768,-0.619,8.3876,8.3889,"132° 18' 41.591""",-1.78 %,,,,,,0.3000,0.3260,0.0130,Fitting - (12),Fitting - (13),2,1,ByLayer,Pipe_ DN 300_ PN 16_ RF,0,0
Pressure Pipe - (15),Pipe_ DN 300_ PN 16_ [...],Estándar,Tubería a presión,300,<Ninguno>,PROPUESTA,,,,,0.000,0.000,367530.4480,4057778.1902,367532.4340,4057771.6040,-0.779,-0.657,-0.929,-0.807,-0.616,-0.494,6.8792,6.8802,"163° 13' 12.936""",-1.78 %,,,,,,0.3000,0.3260,0.0130,Fitting - (13),Fitting - (14),2,1,ByLayer,Pipe_ DN 300_ PN 16_ RF,0,0
Pressure Pipe - (16),Pipe_ DN 300_ PN 16_ [...],Estándar,Tubería a presión,300,<Ninguno>,PROPUESTA,,,,,0.000,0.000,367532.4531,4057771.4962,367532.9907,4057762.1818,-0.655,-0.489,-0.805,-0.639,-0.492,-0.326,9.3299,9.3313,"176° 41' 46.562""",-1.78 %,,,,,,0.3000,0.3260,0.0130,Fitting - (14),Fitting - (15),2,1,ByLayer,Pipe_ DN 300_ PN 16_ RF,0,0
Pressure Pipe - (17),Pipe_ DN 300_ PN 16_ [...],Estándar,Tubería a presión,300,<Ninguno>,PROPUESTA,,,,,0.000,0.000,367532.9811,4057762.0728,367530.6104,4057752.1187,-0.487,-0.306,-0.637,-0.456,-0.324,-0.143,10.2325,10.2341,"193° 23' 45.566""",-1.78 %,,,,,,0.3000,0.3260,0.0130,Fitting - (15),Fitting - (16),2,1,ByLayer,Pipe_ DN 300_ PN 16_ RF,0,0
Pressure Pipe - (18),Pipe_ DN 300_ PN 16_ [...],Estándar,Tubería a presión,300,<Ninguno>,PROPUESTA,,,,,0.000,0.000,367530.5722,4057752.0162,367505.2005,4057703.2724,-0.304,0.672,-0.454,0.522,-0.141,0.835,54.9516,54.9603,"207° 29' 51.218""",-1.78 %,,,,,,0.3000,0.3260,0.0130,Fitting - (16),Fitting - (17),2,1,ByLayer,Pipe_ DN 300_ PN 16_ RF,0,0
Pressure Pipe - (19),Pipe_ DN 300_ PN 16_ [...],Estándar,Tubería a presión,300,<Ninguno>,PROPUESTA,,,,,0.000,0.000,367505.3347,4057702.7231,367523.9601,4057689.6634,0.685,1.089,0.535,0.939,0.848,1.252,22.7477,22.7513,"125° 2' 14.165""",-1.78 %,,,,,,0.3000,0.3260,0.0130,Fitting - (17),Fitting - (91),2,1,ByLayer,Pipe_ DN 300_ PN 16_ RF,0,0
Pressure Pipe - (20),Pipe_ DN 300_ PN 16_ [...],Estándar,Tubería a presión,300,<Ninguno>,PROPUESTA,,,,,1.011,3.682,367652.2260,4057599.6914,367683.9856,4057554.7975,3.872,4.848,3.722,4.698,4.035,5.011,54.9922,55.0009,"144° 43' 23.030""",-1.78 %,,,,,,0.3000,0.3260,0.0130,Fitting - (18),Fitting - (19),2,1,ByLayer,Pipe_ DN 300_ PN 16_ RF,0,0
Pressure Pipe - (21),Pipe_ DN 300_ PN 16_ [...],Estándar,Tubería a presión,300,<Ninguno>,PROPUESTA,,,,,0.895,3.278,367684.1044,4057554.6805,367739.2664,4057516.9433,4.848,3.821,4.698,3.671,5.011,3.984,66.8352,66.8431,"124° 22' 35.822""",1.54 %,,,,,,0.3000,0.3260,0.0130,Fitting - (19),<Ninguno>,2,1,ByLayer,Pipe_ DN 300_ PN 16_ RF,0,0
Pressure Pipe - (22),Pipe_ DN 300_ PN 16_ [...],Estándar,Tubería a presión,300,<Ninguno>,PROPUESTA,,,,,1.003,1.360,367807.1867,4057470.4656,367833.1609,4057444.3451,2.552,0.064,2.402,-0.086,2.715,0.227,36.8367,36.9206,"135° 9' 39.023""",6.76 %,,,,,,0.3000,0.3260,0.0130,Fitting - (20),Fitting - (21),2,1,ByLayer,Pipe_ DN 300_ PN 16_ RF,0,0
Pressure Pipe - (23),Pipe_ DN 300_ PN 16_ [...],Estándar,Tubería a presión,300,<Ninguno>,PROPUESTA,,,,,0.000,0.000,367833.2651,4057444.0871,367833.1798,4057438.4232,0.043,-0.339,-0.107,-0.489,0.206,-0.176,5.6645,5.6774,"180° 51' 46.885""",6.76 %,,,,,,0.3000,0.3260,0.0130,Fitting - (21),Fitting - (22),2,1,ByLayer,Pipe_ DN 300_ PN 16_ RF,0,0
Pressure Pipe - (24),Pipe_ DN 300_ PN 16_ [...],Estándar,Tubería a presión,300,<Ninguno>,PROPUESTA,,,,,0.000,0.000,367833.0944,4057438.1583,367826.2907,4057428.3972,-0.359,-1.163,-0.509,-1.313,-0.196,-1.000,11.8983,11.9254,"214° 52' 37.764""",6.76 %,,,,,,0.3000,0.3260,0.0130,Fitting - (22),<Ninguno>,2,1,ByLayer,Pipe_ DN 300_ PN 16_ RF,0,0
Pressure Pipe - (60),Pipe_ DN 200_ PN 16_ [...],Estándar,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,0.000,0.000,367524.4884,4057689.7204,367576.2180,4057787.0985,1.098,1.272,0.998,1.172,1.209,1.383,110.2653,110.2655,"27° 58' 41.854""",-0.16 %,,,,,,0.2000,0.2220,0.0110,Fitting - (91),Fitting - (57),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
Pressure Pipe - (61),Pipe_ DN 200_ PN 16_ [...],Estándar,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,0.000,0.000,367576.2580,4057787.1673,367585.8075,4057802.2596,1.274,1.664,1.174,1.564,1.385,1.775,17.8598,17.8640,"32° 19' 24.243""",-2.18 %,,,,,,0.2000,0.2220,0.0110,Fitting - (57),Fitting - (58),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
Pressure Pipe - (62),Pipe_ DN 200_ PN 16_ [...],Estándar,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,0.000,0.000,367585.8570,4057802.3220,367591.9775,4057808.5649,1.666,1.854,1.566,1.754,1.777,1.965,8.7427,8.7447,"44° 25' 57.666""",-2.16 %,,,,,,0.2000,0.2220,0.0110,Fitting - (58),Fitting - (59),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
Pressure Pipe - (63),Pipe_ DN 200_ PN 16_ [...],Estándar,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,0.000,0.000,367592.0353,4057808.6196,367604.2842,4057819.3392,1.856,2.208,1.756,2.108,1.967,2.319,16.2771,16.2809,"48° 48' 33.727""",-2.16 %,,,,,,0.2000,0.2220,0.0110,Fitting - (59),Fitting - (60),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
Pressure Pipe - (64),Pipe_ DN 200_ PN 16_ [...],Estándar,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,0.000,0.000,367604.3494,4057819.3849,367643.7578,4057841.1908,2.210,3.182,2.110,3.082,2.321,3.293,45.0391,45.0496,"61° 2' 34.513""",-2.16 %,,,,,,0.2000,0.2220,0.0110,Fitting - (60),Fitting - (61),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
Pressure Pipe - (65),Pipe_ DN 200_ PN 16_ [...],Estándar,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,0.000,0.000,367643.8265,4057841.2308,367664.9364,4057854.1667,3.184,3.719,3.084,3.619,3.295,3.830,24.7581,24.7639,"58° 30' 1.955""",-2.16 %,,,,,,0.2000,0.2220,0.0110,Fitting - (61),Fitting - (62),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
Pressure Pipe - (66),Pipe_ DN 200_ PN 16_ [...],Estándar,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,0.000,0.000,367665.2423,4057854.1031,367671.4138,4057845.2887,3.728,3.961,3.628,3.861,3.839,4.072,10.7602,10.7627,"145° 0' 6.425""",-2.16 %,,,,,,0.2000,0.2220,0.0110,Fitting - (62),Fitting - (63),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
Pressure Pipe - (67),Pipe_ DN 200_ PN 16_ [...],Estándar,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,0.000,0.000,367671.5985,4057845.1997,367700.2377,4057846.9897,3.966,4.586,3.866,4.486,4.077,4.697,28.6950,28.7017,"86° 25' 25.192""",-2.16 %,,,,,,0.2000,0.2220,0.0110,Fitting - (63),Fitting - (64),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
Pressure Pipe - (68),Pipe_ DN 200_ PN 16_ [...],Estándar,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,0.975,0.997,367700.4047,4057847.1086,367709.9876,4057870.0057,4.591,5.127,4.491,5.027,4.702,5.238,24.8216,24.8274,"22° 42' 36.568""",-2.16 %,,,,,,0.2000,0.2220,0.0110,Fitting - (64),Fitting - (65),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
Pressure Pipe - (69),Pipe_ DN 200_ PN 16_ [...],Estándar,Tubería a presión,200,<Ninguno>,PROPUESTA,,,,,1.003,2.320,367710.0236,4057870.0766,367729.4851,4057902.2885,5.130,7.274,5.030,7.174,5.241,7.385,37.6345,37.6954,"31° 8' 21.123""",-5.70 %,,,,,,0.2000,0.2220,0.0110,Fitting - (65),Fitting - (66),2,1,ByLayer,Pipe_ DN 200_ PN 16_ RF,0,0
