Distancia de tramo de tubería,Nombre de pieza,Tipo de pieza,Abscisa,Ordenada,Rasante,Elevación de eje,Elevación de generatriz interior superior,Talud,Orientación/ángulo,Perfil de superficie,Elevación del perfil de superficie,Radio horizontal,Radio vertical,Nombre del tramo de tubería,Comparar con,P.K. comparado,Abscisa comparada,Ordenada comparada,Elevación comparada,Desfase comparado (XY),Desfase comparado (Z),Pendiente comparada,origen_fd,pieza_id
0+000.00,Fitting - (156),Unión en T,368171.9787,4057967.4195,,4.654,,,,<Ninguno>,,,,FD150 PROPUESTO,,,,,,,,,FD150 PROPUESTO,156
0+000.92,Appurtenance - (2),Válvula,368171.2260,4057967.9461,,4.721,,,,<Ninguno>,,,,FD150 PROPUESTO,,,,,,,,,FD150 PROPUESTO,2
0+010.00,Pressure Pipe - (176),Tubería a presión,368163.7845,4057973.1515,4.718,4.793,4.878,-0.80 %,"304° 58' 23.711""",<Ninguno>,,,,FD150 PROPUESTO,,,,,,,,,FD150 PROPUESTO,176
0+020.00,Pressure Pipe - (176),Tubería a presión,368155.5903,4057978.8834,4.798,4.873,4.958,-0.80 %,"304° 58' 23.711""",<Ninguno>,,,,FD150 PROPUESTO,,,,,,,,,FD150 PROPUESTO,176
0+030.00,Pressure Pipe - (176),Tubería a presión,368147.3961,4057984.6154,4.878,4.953,5.038,-0.80 %,"304° 58' 23.711""",<Ninguno>,,,,FD150 PROPUESTO,,,,,,,,,FD150 PROPUESTO,176
0+040.00,Pressure Pipe - (176),Tubería a presión,368139.2019,4057990.3473,4.959,5.034,5.119,-0.80 %,"304° 58' 23.711""",<Ninguno>,,,,FD150 PROPUESTO,,,,,,,,,FD150 PROPUESTO,176
0+050.00,Pressure Pipe - (176),Tubería a presión,368131.0077,4057996.0792,5.039,5.114,5.199,-0.80 %,"304° 58' 23.711""",<Ninguno>,,,,FD150 PROPUESTO,,,,,,,,,FD150 PROPUESTO,176
0+060.00,Pressure Pipe - (176),Tubería a presión,368122.8135,4058001.8112,5.119,5.194,5.279,-0.80 %,"304° 58' 23.711""",<Ninguno>,,,,FD150 PROPUESTO,,,,,,,,,FD150 PROPUESTO,176
0+067.97,Fitting - (115),Codo,368116.2803,4058006.3815,,5.262,,,,<Ninguno>,,,,FD150 PROPUESTO,,,,,,,,,FD150 PROPUESTO,115
0+070.00,Pressure Pipe - (123),Tubería a presión,368114.6190,4058007.5427,5.193,5.268,5.353,-0.45 %,"304° 57' 31.091""",<Ninguno>,,,,FD150 PROPUESTO,,,,,,,,,FD150 PROPUESTO,123
0+080.00,Pressure Pipe - (123),Tubería a presión,368106.4233,4058013.2725,5.238,5.313,5.398,-0.45 %,"304° 57' 31.091""",<Ninguno>,,,,FD150 PROPUESTO,,,,,,,,,FD150 PROPUESTO,123
0+090.00,Pressure Pipe - (123),Tubería a presión,368098.2277,4058019.0024,5.283,5.358,5.443,-0.45 %,"304° 57' 31.091""",<Ninguno>,,,,FD150 PROPUESTO,,,,,,,,,FD150 PROPUESTO,123
