"Tipo","Alineacion","PK","PK_m","Ordenada_m","Abscisa_m","Distancia_m","Orientacion","RowKind"
"INCREMENTAL","CALLE PARKING","0+000.00","0","4058062.8839","368168.7578",,"S54.987572E (d)","Punto_Incremental"
"INCREMENTAL","CALLE PARKING","0+010.00","10","4058057.1464","368176.9481",,"S54.987572E (d)","Punto_Incremental"
"INCREMENTAL","CALLE PARKING","0+020.00","20","4058051.4089","368185.1383",,"S54.987572E (d)","Punto_Incremental"
"INCREMENTAL","CALLE PARKING","0+030.00","30","4058045.6713","368193.3286",,"S54.987572E (d)","Punto_Incremental"
"INCREMENTAL","CALLE PARKING","0+040.00","40","4058039.9338","368201.5189",,"S54.987572E (d)","Punto_Incremental"
"INCREMENTAL","CALLE PARKING","0+050.00","50","4058032.6837","368206.3706",,"S34.941718O (d)","Punto_Incremental"
"INCREMENTAL","CALLE PARKING","0+055.31","55.31","4058028.3323","368203.3303",,"S34.941718O (d)","Punto_Incremental"
"INCREMENTAL","ROTONDA","0+000.00","0","4058038.9315","368042.9782",,"N1.762539O (d)","Punto_Incremental"
"INCREMENTAL","ROTONDA","0+010.00","10","4058046.8394","368037.7255",,"N65.424516O (d)","Punto_Incremental"
"INCREMENTAL","ROTONDA","0+020.00","20","4058045.6404","368028.308",,"S50.913507O (d)","Punto_Incremental"
"INCREMENTAL","ROTONDA","0+030.00","30","4058036.6686","368025.2043",,"S12.748470E (d)","Punto_Incremental"
"INCREMENTAL","ROTONDA","0+040.00","40","4058029.9066","368031.8677",,"S76.410448E (d)","Punto_Incremental"
"INCREMENTAL","ROTONDA","0+050.00","50","4058032.8783","368040.8841",,"N39.927575E (d)","Punto_Incremental"
"INCREMENTAL","ROTONDA","0+056.54","56.54","4058038.9215","368042.9785",,"N1.698877O (d)","Punto_Incremental"
"INCREMENTAL","VIAL CONEXION SG","0+000.00","0","4058038.6547","368033.9824",,"N88.269292E (d)","Punto_Incremental"
"INCREMENTAL","VIAL CONEXION SG","0+010.00","10","4058038.9567","368043.9779",,"N88.269292E (d)","Punto_Incremental"
"INCREMENTAL","VIAL CONEXION SG","0+020.00","20","4058039.2587","368053.9733",,"N88.269292E (d)","Punto_Incremental"
"INCREMENTAL","VIAL CONEXION SG","0+030.00","30","4058037.4029","368063.6423",,"S60.697712E (d)","Punto_Incremental"
"INCREMENTAL","VIAL CONEXION SG","0+040.00","40","4058031.743","368071.8839",,"S55.112678E (d)","Punto_Incremental"
"INCREMENTAL","VIAL CONEXION SG","0+050.00","50","4058026.0234","368080.0867",,"S55.112678E (d)","Punto_Incremental"
"INCREMENTAL","VIAL CONEXION SG","0+060.00","60","4058020.3037","368088.2895",,"S55.112678E (d)","Punto_Incremental"
"INCREMENTAL","VIAL CONEXION SG","0+070.00","70","4058014.5841","368096.4923",,"S55.112678E (d)","Punto_Incremental"
"INCREMENTAL","VIAL CONEXION SG","0+080.00","80","4058008.8645","368104.6951",,"S55.112678E (d)","Punto_Incremental"
"INCREMENTAL","VIAL CONEXION SG","0+090.00","90","4058003.1448","368112.8979",,"S55.112678E (d)","Punto_Incremental"
