"Tipo","Alineacion","PK","PK_m","Ordenada_m","Abscisa_m","Distancia_m","Orientacion","RowKind"
"PI","ROTONDA","0+000.00","0","4058038.9315","368042.9782",,"","Punto_PI"
"PI","ROTONDA","",,,,"8.727","N1.762539O (d)","Tramo_PI"
"PI","ROTONDA","0+008.73","8.73","4058047.6547","368042.7097",,"","Punto_PI"
"PI","ROTONDA","",,,,"18.008","S1.729747E (d)","Tramo_PI"
"PI","ROTONDA","0+051.41","51.41","4058029.6547","368043.2533",,"","Punto_PI"
"PI","ROTONDA","",,,,"9.271","N1.698877O (d)","Tramo_PI"
"PI","ROTONDA","0+056.54","56.54","4058038.9215","368042.9785",,"","Punto_PI"
"PI","VIAL CONEXION SG","0+000.00","0","4058038.6547","368033.9824",,"","Punto_PI"
"PI","VIAL CONEXION SG","",,,,"26.839","N88.269292E (d)","Tramo_PI"
"PI","VIAL CONEXION SG","0+026.84","26.84","4058039.4653","368060.8092",,"","Punto_PI"
"PI","VIAL CONEXION SG","",,,,"136.432","S55.112678E (d)","Tramo_PI"
"PI","VIAL CONEXION SG","0+162.93","162.93","4057961.431","368172.7215",,"","Punto_PI"
"PI","Vial Conexión SG-IT","0+000.00","0","4057996.5823","368122.3095",,"","Punto_PI"
"PI","Vial Conexión SG-IT","",,,,"98.344","N35.013566E (d)","Tramo_PI"
"PI","Vial Conexión SG-IT","0+098.34","98.34","4058077.1274","368178.7362",,"","Punto_PI"
