"Tipo","Alineacion","PK","PK_m","Ordenada_m","Abscisa_m","Distancia_m","Orientacion","RowKind"
"INCREMENTAL","EJE AV MCE","0+000.00","0","4059130.2116","369103.2111",,"N66.652321O (d)","Punto_Incremental"
"INCREMENTAL","EJE AV MCE","0+010.00","10","4059133.8602","369093.909",,"N72.472432O (d)","Punto_Incremental"
"INCREMENTAL","EJE AV MCE","0+020.00","20","4059136.8718","369084.3733",,"N72.472432O (d)","Punto_Incremental"
"INCREMENTAL","EJE AV MCE","0+030.00","30","4059139.8835","369074.8376",,"N72.472432O (d)","Punto_Incremental"
"INCREMENTAL","EJE AV MCE","0+035.19","35.19","4059141.446","369069.8904",,"N72.472432O (d)","Punto_Incremental"
"INCREMENTAL","EJE AV. MANUEL CASTILLO","0+000.00","0","4058317.883","368545.6989",,"S55.317074E (d)","Punto_Incremental"
"INCREMENTAL","EJE AV. MANUEL CASTILLO","0+010.00","10","4058312.1927","368553.9221",,"S55.317074E (d)","Punto_Incremental"
"INCREMENTAL","EJE AV. MANUEL CASTILLO","0+020.00","20","4058306.5023","368562.1452",,"S55.317074E (d)","Punto_Incremental"
"INCREMENTAL","EJE AV. MANUEL CASTILLO","0+030.00","30","4058300.812","368570.3684",,"S55.317074E (d)","Punto_Incremental"
"INCREMENTAL","EJE AV. MANUEL CASTILLO","0+040.00","40","4058295.1216","368578.5915",,"S55.317074E (d)","Punto_Incremental"
"INCREMENTAL","EJE AV. MANUEL CASTILLO","0+050.00","50","4058289.4313","368586.8146",,"S55.317074E (d)","Punto_Incremental"
"INCREMENTAL","EJE AV. MANUEL CASTILLO","0+060.00","60","4058283.7409","368595.0378",,"S55.317074E (d)","Punto_Incremental"
"INCREMENTAL","EJE AV. MANUEL CASTILLO","0+070.00","70","4058278.0506","368603.2609",,"S55.317074E (d)","Punto_Incremental"
"INCREMENTAL","EJE AV. MANUEL CASTILLO","0+080.00","80","4058272.3603","368611.484",,"S55.317074E (d)","Punto_Incremental"
