"Tipo","Alineacion","PK","PK_m","Ordenada_m","Abscisa_m","Distancia_m","Orientacion","RowKind"
"PI","EJE AV MCE","0+000.00","0","4059130.2116","369103.2111",,"","Punto_PI"
"PI","EJE AV MCE","",,,,"6.683","N66.652321O (d)","Tramo_PI"
"PI","EJE AV MCE","0+006.68","6.68","4059132.8602","369097.0752",,"","Punto_PI"
"PI","EJE AV MCE","",,,,"28.508","N72.472432O (d)","Tramo_PI"
"PI","EJE AV MCE","0+035.19","35.19","4059141.446","369069.8904",,"","Punto_PI"
"PI","EJE AV. MANUEL CASTILLO","0+000.00","0","4058317.883","368545.6989",,"","Punto_PI"
"PI","EJE AV. MANUEL CASTILLO","",,,,"102.364","S55.317074E (d)","Tramo_PI"
"PI","EJE AV. MANUEL CASTILLO","0+102.36","102.36","4058259.6346","368629.874",,"","Punto_PI"
"PI","EJE CALLE GUADALHORCE","0+000.00","0","4059176.3707","369102.3276",,"","Punto_PI"
"PI","EJE CALLE GUADALHORCE","",,,,"18.743","S31.201210O (d)","Tramo_PI"
"PI","EJE CALLE GUADALHORCE","0+018.74","18.74","4059160.3391","369092.618",,"","Punto_PI"
"PI","EJE CALLE GUADALHORCE","",,,,"29.555","S50.263798O (d)","Tramo_PI"
"PI","EJE CALLE GUADALHORCE","0+048.25","48.25","4059141.446","369069.8904",,"","Punto_PI"
"PI","EJE CTRA. GUADALMAR","0+000.00","0","4059180.9497","368995.774",,"","Punto_PI"
"PI","EJE CTRA. GUADALMAR","",,,,"60.329","S64.843113E (d)","Tramo_PI"
"PI","EJE CTRA. GUADALMAR","0+060.33","60.33","4059155.3039","369050.3808",,"","Punto_PI"
"PI","EJE CTRA. GUADALMAR","",,,,"23.93","S54.613224E (d)","Tramo_PI"
"PI","EJE CTRA. GUADALMAR","0+084.25","84.25","4059141.446","369069.8904",,"","Punto_PI"
"PI","EJE TRAMO 1","0+000.00","0","4058274.145","368608.905",,"","Punto_PI"
"PI","EJE TRAMO 1","",,,,"103.266","N20.574704E (d)","Tramo_PI"
"PI","EJE TRAMO 1","0+103.27","103.27","4058370.8245","368645.1957",,"","Punto_PI"
"PI","EJE TRAMO 1","",,,,"116.105","N24.537227E (d)","Tramo_PI"
"PI","EJE TRAMO 1","0+219.34","219.34","4058476.4444","368693.4124",,"","Punto_PI"
"PI","EJE TRAMO 1","",,,,"385.527","N27.794616E (d)","Tramo_PI"
"PI","EJE TRAMO 1","0+604.83","604.83","4058817.4908","368873.1848",,"","Punto_PI"
"PI","EJE TRAMO 1","",,,,"354.067","N33.257676E (d)","Tramo_PI"
"PI","EJE TRAMO 1","0+958.87","958.87","4059113.566","369067.3569",,"","Punto_PI"
"PI","EJE TRAMO 1","",,,,"27.995","N5.192212E (d)","Tramo_PI"
"PI","EJE TRAMO 1","0+986.35","986.35","4059141.446","369069.8904",,"","Punto_PI"
"PI","EJE TRAMO 1","",,,,"21","N5.192212E (d)","Tramo_PI"
"PI","EJE TRAMO 1","1+007.35","1007.35","4059162.3598","369071.7908",,"","Punto_PI"
"PI","EJE TRAMO 2","0+000.00","0","4057461.9148","367929.079",,"","Punto_PI"
"PI","EJE TRAMO 2","",,,,"11.626","N24.393708E (d)","Tramo_PI"
"PI","EJE TRAMO 2","0+011.63","11.63","4057472.5033","367933.8808",,"","Punto_PI"
"PI","EJE TRAMO 2","",,,,"269.721","N36.067135E (d)","Tramo_PI"
"PI","EJE TRAMO 2","0+281.27","281.27","4057690.5259","368092.6741",,"","Punto_PI"
"PI","EJE TRAMO 2","",,,,"373.548","N36.216245E (d)","Tramo_PI"
"PI","EJE TRAMO 2","0+654.81","654.81","4057991.9016","368313.3791",,"","Punto_PI"
"PI","EJE TRAMO 2","",,,,"172.929","N35.803527E (d)","Tramo_PI"
"PI","EJE TRAMO 2","0+827.74","827.74","4058132.1518","368414.5438",,"","Punto_PI"
"PI","EJE TRAMO 2","",,,,"100.503","N79.264496E (d)","Tramo_PI"
"PI","EJE TRAMO 2","0+927.36","927.36","4058150.873","368513.2877",,"","Punto_PI"
"PI","EJE TRAMO 2","",,,,"96.581","N35.629447E (d)","Tramo_PI"
"PI","EJE TRAMO 2","1+022.54","1022.54","4058229.3743","368569.5502",,"","Punto_PI"
"PI","EJE TRAMO 2","",,,,"59.609","N41.316495E (d)","Tramo_PI"
"PI","EJE TRAMO 2","1+082.12","1082.12","4058274.145","368608.905",,"","Punto_PI"
"PI","ROTONDA AV. MANUEL CASTILLO","0+000.00","0","4058254.9596","368592.107",,"","Punto_PI"
"PI","ROTONDA AV. MANUEL CASTILLO","",,,,"0.05","N48.795850O (d)","Tramo_PI"
"PI","ROTONDA AV. MANUEL CASTILLO","0+000.05","0.05","4058254.9925","368592.0694",,"","Punto_PI"
"PI","ROTONDA AV. MANUEL CASTILLO","",,,,"0.05","N48.571160O (d)","Tramo_PI"
"PI","ROTONDA AV. MANUEL CASTILLO","0+160.12","160.12","4058255.0256","368592.0319",,"","Punto_PI"
"PI","ROTONDA CTRA. GUADALMAR","0+000.00","0","4059120.5588","369067.7164",,"","Punto_PI"
"PI","ROTONDA CTRA. GUADALMAR","",,,,"0.05","N84.057876O (d)","Tramo_PI"
"PI","ROTONDA CTRA. GUADALMAR","0+000.05","0.05","4059120.564","369067.6666",,"","Punto_PI"
"PI","ROTONDA CTRA. GUADALMAR","",,,,"0.05","N83.785039O (d)","Tramo_PI"
"PI","ROTONDA CTRA. GUADALMAR","0+131.85","131.85","4059120.5694","369067.6169",,"","Punto_PI"
