"Red","CodigoBase","AliasBC3","TipoInterpretado","CodigoBC3_Referencia","DuplicadosMismoCodigo","NombreRepresentativo","TipoOrigen","Tamano","CotaTapa_m","CotaSumidero_m","ProfundidadGeom_m","ProfundidadReportada_m","Observacion"
"PLUVIALES","StartNullStruct0","IM01","Imbornal / estructura auxiliar","U044879794E3","1","StartNullStruct0","Connection","...","0",,,"0","Criterio actual: no PP = imbornal"
"PLUVIALES","EndNullStruct0","IM02","Imbornal / estructura auxiliar","U044879794E3","1","EndNullStruct0","Connection","...","0",,,"0.94","Criterio actual: no PP = imbornal"
"PLUVIALES","EndNullStruct1","IM03","Imbornal / estructura auxiliar","U044879794E3","1","EndNullStruct1","Connection","...","0",,,"0.94","Criterio actual: no PP = imbornal"
"PLUVIALES","EndNullStruct2","IM04","Imbornal / estructura auxiliar","U044879794E3","1","EndNullStruct2","Connection","...","0",,,"0.94","Criterio actual: no PP = imbornal"
"PLUVIALES","EndNullStruct3","IM05","Imbornal / estructura auxiliar","U044879794E3","1","EndNullStruct3","Connection","...","0",,,"0.94","Criterio actual: no PP = imbornal"
"PLUVIALES","EndNullStruct4","IM06","Imbornal / estructura auxiliar","U044879794E3","1","EndNullStruct4","Connection","...","0",,,"0.94","Criterio actual: no PP = imbornal"
"PLUVIALES","EndNullStruct5","IM07","Imbornal / estructura auxiliar","U044879794E3","1","EndNullStruct5","Connection","...","0",,,"0.94","Criterio actual: no PP = imbornal"
"PLUVIALES","EndNullStruct6","IM08","Imbornal / estructura auxiliar","U044879794E3","1","EndNullStruct6","Connection","...","0",,,"0.94","Criterio actual: no PP = imbornal"
"PLUVIALES","EndNullStruct7","IM09","Imbornal / estructura auxiliar","U044879794E3","1","EndNullStruct7","Connection","...","0",,,"0.94","Criterio actual: no PP = imbornal"
"PLUVIALES","EndNullStruct8","IM10","Imbornal / estructura auxiliar","U044879794E3","1","EndNullStruct8","Connection","...","0",,,"0","Criterio actual: no PP = imbornal"
"PLUVIALES","IM21","IM11","Imbornal / estructura auxiliar","U044879794E3","1","IM21","Rectangular","L:0.70 W:0.30","5.97","5.51","0.46","0","Criterio actual: no PP = imbornal"
"PLUVIALES","IM24","IM12","Imbornal / estructura auxiliar","U044879794E3","1","IM24","Rectangular","L:0.70 W:0.30","4.94","4.48","0.46","0","Criterio actual: no PP = imbornal"
"PLUVIALES","IM20","IM13","Imbornal / estructura auxiliar","U044879794E3","1","IM20","Rectangular","L:0.70 W:0.30","4.94","4.48","0.46","0","Criterio actual: no PP = imbornal"
"PLUVIALES","IM78","IM14","Imbornal / estructura auxiliar","U044879794E3","1","IM78","Rectangular","L:0.70 W:0.30","4.87","-0.76","5.63","0","Criterio actual: no PP = imbornal"
"PLUVIALES","IM22","IM15","Imbornal / estructura auxiliar","U044879794E3","1","IM22","Rectangular","L:0.70 W:0.30","4.82","4.36","0.46","0","Criterio actual: no PP = imbornal"
"PLUVIALES","IM23","IM16","Imbornal / estructura auxiliar","U044879794E3","1","IM23","Rectangular","L:0.70 W:0.30","4.82","4.36","0.46","0","Criterio actual: no PP = imbornal"
"PLUVIALES","IM77","IM17","Imbornal / estructura auxiliar","U044879794E3","1","IM77","Rectangular","L:0.70 W:0.30","4.76","-0.76","5.52","0","Criterio actual: no PP = imbornal"
"PLUVIALES","PP14","PP14","Pozo pluvial","UAP0.2-TIPOI","1","PP14","Circular","D:1.00","4.74","2.59","2.15","0","Criterio hidráulico acordado: pozo estándar => TIPO I."
"PLUVIALES","PP17","PP17","Pozo pluvial","UAP0.2-TIPOI","1","PP17","Circular","D:1.00","4.4","2.51","1.89","0","Criterio hidráulico acordado: pozo estándar => TIPO I."
"PLUVIALES","IM28","IM18","Imbornal / estructura auxiliar","U044879794E3","1","IM28","Rectangular","L:0.70 W:0.30","4.27","-0.94","5.21","0","Criterio actual: no PP = imbornal"
"PLUVIALES","IM27","IM19","Imbornal / estructura auxiliar","U044879794E3","1","IM27","Rectangular","L:0.70 W:0.30","4.27","-0.94","5.21","0","Criterio actual: no PP = imbornal"
"PLUVIALES","PP16","PP16","Pozo pluvial","UAP0.2-TIPOI","1","PP16","Circular","D:1.00","4.26","2.56","1.7","0","Criterio hidráulico acordado: pozo estándar => TIPO I."
"PLUVIALES","PP18","PP18","Pozo pluvial","UAP0.2-TIPOI","1","PP18","Circular","D:1.00","4.23","2.46","1.77","0","Criterio hidráulico acordado: pozo estándar => TIPO I."
"PLUVIALES","IM80","IM20","Imbornal / estructura auxiliar","U044879794E3","1","IM80","Rectangular","L:0.70 W:0.30","4.17","-0.76","4.93","0","Criterio actual: no PP = imbornal"
"PLUVIALES","IM79","IM21","Imbornal / estructura auxiliar","U044879794E3","1","IM79","Rectangular","L:0.70 W:0.30","4.12","-0.76","4.88","0","Criterio actual: no PP = imbornal"
"PLUVIALES","PP15","PP15","Pozo pluvial","UAP0.2-TIPOI","1","PP15","Circular","D:1.00","4.03","2.59","1.44","0","Criterio hidráulico acordado: pozo estándar => TIPO I."
"PLUVIALES","PP19","PP19","Pozo pluvial","UAP0.2-TIPOI","1","PP19","Circular","D:1.00","4.01","2.41","1.6","0","Criterio hidráulico acordado: pozo estándar => TIPO I."
"PLUVIALES","PP20","PP20","Pozo pluvial","UAP0.2-TIPOI","1","PP20","Circular","D:1.00","3.92","2.35","1.57","0","Criterio hidráulico acordado: pozo estándar => TIPO I."
"PLUVIALES","IM29","IM22","Imbornal / estructura auxiliar","U044879794E3","1","IM29","Rectangular","L:0.70 W:0.30","3.91","2.72","1.19","0","Criterio actual: no PP = imbornal"
"PLUVIALES","IM30","IM23","Imbornal / estructura auxiliar","U044879794E3","1","IM30","Rectangular","L:0.70 W:0.30","3.91","3.2","0.71","0","Criterio actual: no PP = imbornal"
"PLUVIALES","PP21","PP21","Pozo pluvial","UAP0.2-TIPOI","1","PP21","Circular","D:1.00","3.84","2.3","1.54","0","Criterio hidráulico acordado: pozo estándar => TIPO I."
"PLUVIALES","IM31","IM24","Imbornal / estructura auxiliar","U044879794E3","1","IM31","Rectangular","L:0.70 W:0.30","3.83","2.64","1.19","0","Criterio actual: no PP = imbornal"
"PLUVIALES","IM32","IM25","Imbornal / estructura auxiliar","U044879794E3","1","IM32","Rectangular","L:0.70 W:0.30","3.83","3.2","0.63","0","Criterio actual: no PP = imbornal"
"PLUVIALES","PP22","PP22","Pozo pluvial","UAP0.2-TIPOI","1","PP22","Circular","D:1.00","3.76","2.25","1.51","0","Criterio hidráulico acordado: pozo estándar => TIPO I."
"PLUVIALES","PP23","PP23","Pozo pluvial","UAP0.2-TIPOI","1","PP23","Circular","D:1.00","3.75","2.19","1.56","0","Criterio hidráulico acordado: pozo estándar => TIPO I."
"PLUVIALES","IM33","IM26","Imbornal / estructura auxiliar","U044879794E3","1","IM33","Rectangular","L:0.70 W:0.30","3.75","2.56","1.19","0","Criterio actual: no PP = imbornal"
"PLUVIALES","IM34","IM27","Imbornal / estructura auxiliar","U044879794E3","1","IM34","Rectangular","L:0.70 W:0.30","3.75","3.19","0.56","0","Criterio actual: no PP = imbornal"
"PLUVIALES","PP1","PP1","Pozo pluvial","UAP0.2-TIPOI","1","PP1","Circular","D:1.00","3.73","2.34","1.39","0","Criterio hidráulico acordado: pozo estándar => TIPO I."
"PLUVIALES","PP32","PP32","Pozo pluvial","UAP0.2-TIPOI","1","PP32","Circular","D:1.00","3.72","1.51","2.21","0","Criterio hidráulico acordado: pozo estándar => TIPO I."
"PLUVIALES","IM26","IM28","Imbornal / estructura auxiliar","U044879794E3","1","IM26","Rectangular","L:0.70 W:0.30","3.69","2.92","0.77","0","Criterio actual: no PP = imbornal"
"PLUVIALES","PP33","PP33","Pozo pluvial","UAP0.2-TIPOI","1","PP33","Circular","D:1.00","3.69","1.43","2.26","0","Criterio hidráulico acordado: pozo estándar => TIPO I."
"PLUVIALES","PP31","PP31","Pozo pluvial","UAP0.2-TIPOI","1","PP31","Circular","D:1.00","3.68","1.58","2.1","0","Criterio hidráulico acordado: pozo estándar => TIPO I."
