"Red","NombreOriginal","Shape","Material","Diametro_mm","NodoInicialRaw","NodoFinalRaw","AliasInicial","AliasFinal","TramoBC3","US_Invert_m","DS_Invert_m","LongitudCentro_m","LongitudUtil_m","Pendiente_pct","CodigoBC3","CapituloBC3","Impacta"
"PLUVIALES","PP1-PP2","Circular","...","400","PP1","PP2","PP1","PP2","PP1-PP2","2.34","2.28","28.01","27.01","0.25","UAC010.3","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP2-PP3","Circular","...","400","PP2","PP3","PP2","PP3","PP2-PP3","2.28","2.18","40","39","0.25","UAC010.3","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP4-PP5","Circular","...","400","PP4","PP5","PP4","PP5","PP4-PP5","2.13","2.07","25.67","24.67","0.25","UAC010.3","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP5-PP6","Circular","...","400","PP5","PP6","PP5","PP6","PP5-PP6","2.07","1.97","40","39","0.25","UAC010.3","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP7-PP8","Circular","...","400","PP7","PP8","PP7","PP8","PP7-PP8","1.92","1.87","19.95","18.95","0.25","UAC010.3","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP8-PP9","Circular","...","500","PP8","PP9","PP8","PP9","PP8-PP9","1.87","1.79","32.15","31.15","0.25","UAC010.3.5","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP9-PP10","Circular","...","500","PP9","PP10","PP9","PP10","PP9-PP10","1.79","1.7","35.85","34.85","0.25","UAC010.3.5","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP10-PP11","Circular","...","500","PP10","PP11","PP10","PP11","PP10-PP11","1.7","1.6","40","39","0.25","UAC010.3.5","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP11-PP12","Circular","...","500","PP11","PP12","PP11","PP12","PP11-PP12","1.6","1.56","18.07","17.07","0.25","UAC010.3.5","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP12-PP13","Circular","...","500","PP12","PP13","PP12","PP13","PP12-PP13","1.56","1.5","22.03","21.03","0.25","UAC010.3.5","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP14-PP15","Circular","...","400","PP14","PP15","PP14","PP15","PP14-PP15","2.63","2.59","31.61","30.61","0.13","UAC010.3","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP15-PP16","Circular","...","400","PP15","PP16","PP15","PP16","PP15-PP16","2.59","2.56","25.09","24.09","0.13","UAC010.3","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP16-PP17","Circular","...","400","PP16","PP17","PP16","PP17","PP16-PP17","2.56","2.51","34.81","33.81","0.13","UAC010.3","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP17-PP18","Circular","...","500","PP17","PP18","PP17","PP18","PP17-PP18","2.51","2.46","41.49","40.49","0.13","UAC010.3.5","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP18-PP19","Circular","...","500","PP18","PP19","PP18","PP19","PP18-PP19","2.46","2.41","40","39","0.13","UAC010.3.5","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP19-PP20","Circular","...","500","PP19","PP20","PP19","PP20","PP19-PP20","2.41","2.35","40","39","0.13","UAC010.3.5","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP20-PP21","Circular","...","500","PP20","PP21","PP20","PP21","PP20-PP21","2.35","2.3","40","39","0.13","UAC010.3.5","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP21-PP22","Circular","...","630","PP21","PP22","PP21","PP22","PP21-PP22","2.3","2.25","40","39","0.13","UAC010.3.6","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP22-PP23","Circular","...","630","PP22","PP23","PP22","PP23","PP22-PP23","2.25","2.19","40","39","0.13","UAC010.3.6","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP23-PP24","Circular","...","630","PP23","PP24","PP23","PP24","PP23-PP24","2.19","2.14","40","39","0.13","UAC010.3.6","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP24-PP25","Circular","...","630","PP24","PP25","PP24","PP25","PP24-PP25","2.14","2.09","40","39","0.13","UAC010.3.6","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
