;;ENSAYO;NORMA O PROCEDIMIENTO;PLAN DE ENSAYOS DE RECEPCIÓN;PLAN DE ENSAYOS DE RECEPCIÓN;PLAN DE ENSAYOS DE RECEPCIÓN;PLAN DE ENSAYOS DE RECEPCIÓN;PLAN DE ENSAYOS DE RECEPCIÓN;PLAN DE ENSAYOS DE RECEPCIÓN;PLAN DE ENSAYOS DE RECEPCIÓN;PLAN DE ENSAYOS DE RECEPCIÓN;
;;ENSAYO;NORMA O PROCEDIMIENTO;ENSAYOS;ENSAYOS;ENSAYOS;PROYECTO;PROYECTO;TOTAL ENSAYOS;PRECIO UNITARIO;IMPORTE;
;;ENSAYO;NORMA O PROCEDIMIENTO;Nº;TAMAÑO LOTE;UD;MEDICIÓN;UD;TOTAL ENSAYOS;PRECIO UNITARIO;IMPORTE;
;;CAPÍTULO 1: EXPLANACIONES.;CAPÍTULO 1: EXPLANACIONES.;CAPÍTULO 1: EXPLANACIONES.;CAPÍTULO 1: EXPLANACIONES.;CAPÍTULO 1: EXPLANACIONES.;CAPÍTULO 1: EXPLANACIONES.;CAPÍTULO 1: EXPLANACIONES.;CAPÍTULO 1: EXPLANACIONES.;CAPÍTULO 1: EXPLANACIONES.;CAPÍTULO 1: EXPLANACIONES.;
;;1.- EXPLANACIONES;;;;;;;;;;
;;1.1.- Identif. suelos excav. para uso como terraplén;;;;;;;;;;
;;Análisis granulométrico de suelos por tamizado;UNE-103101;1;10000;m³;26391.19;m³;3;46.5;139.5;EXCADESMONTE (LM-1.02)
;;Límites de Atterberg;UNE-103103/103104;1;10000;m³;26391.19;m³;3;43.5;130.5;EXCADESMONTE (LM-1.02)
;;Contenido en materia orgánica;UNE-103204;1;10000;m³;26391.19;m³;3;43.5;130.5;EXCADESMONTE (LM-1.02)
;;Ensayo de compactación Próctor normal;UNE-103500;1;10000;m³;26391.19;m³;3;110;330;EXCADESMONTE (LM-1.02)
;;Ensayo de compactación Próctor modificado;UNE-103501;1;10000;m³;26391.19;m³;3;113.5;340.5;EXCADESMONTE (LM-1.02)
;;Índice C.B.R.;UNE-103502;1;10000;m³;26391.19;m³;3;190;570;EXCADESMONTE (LM-1.02)
;;Contenido de sales solubles;NLT-114;1;10000;m³;26391.19;m³;3;50;150;EXCADESMONTE (LM-1.02)
;;1.2.- Compactación de terraplenes;;;;;;;;;;
;;Densidad y humedad in situ coronación;ASTM-D-3017;5;3500;m²;10780.69;m²;20;26;520;RELLENOTERRA (LM-1.02)
;;Densidad y humedad in situ núcleo;ASTM-D-3017;5;5000;m²;10780.69;m²;15;26;390;RELLENOTERRA (LM-1.02)
;;;;;;;;TOTAL CAPÍTULO 1;TOTAL CAPÍTULO 1;TOTAL CAPÍTULO 1;2701;
;;ENSAYO;NORMA O PROCEDIMIENTO;PLAN DE ENSAYOS DE RECEPCIÓN;PLAN DE ENSAYOS DE RECEPCIÓN;PLAN DE ENSAYOS DE RECEPCIÓN;PLAN DE ENSAYOS DE RECEPCIÓN;PLAN DE ENSAYOS DE RECEPCIÓN;PLAN DE ENSAYOS DE RECEPCIÓN;PLAN DE ENSAYOS DE RECEPCIÓN;PLAN DE ENSAYOS DE RECEPCIÓN;
;;ENSAYO;NORMA O PROCEDIMIENTO;ENSAYOS;ENSAYOS;ENSAYOS;PROYECTO;PROYECTO;TOTAL ENSAYOS;PRECIO UNITARIO;IMPORTE;
;;ENSAYO;NORMA O PROCEDIMIENTO;Nº;TAMAÑO LOTE;UD;MEDICIÓN;UD;TOTAL ENSAYOS;PRECIO UNITARIO;IMPORTE;
